firstname,lastname,ranking,age,year
Jiri,Novak,40,24,1999
Franco,Squillari,52,24,1999
Agustin,Calleri,62,24,2000
Nicolas,Escude,48,24,2000
Paul,Goldstein,81,24,2000
Andrew,Ilie,50,24,2000
Gustavo,Kuerten,1,24,2000
Nicolas,Lapentti,24,24,2000
Hyung Taik,Lee,90,24,2000
Carlos,Moya,41,24,2000
Magnus,Norman,4,24,2000
Mark,Philippoussis,11,24,2000
Alexander,Popp,86,24,2000
Marcelo,Rios,37,24,2000
Sjeng,Schalken,22,24,2000
Rainer,Schuettler,45,24,2000
Guillermo,Canas,15,24,2001
Arnaud,Clement,17,24,2001
Jan Michael,Gambill,21,24,2001
Nicolas,Kiefer,42,24,2001
Stefan,Koubek,63,24,2001
Max,Mirnyi,35,24,2001
Andre,Sa,85,24,2001
Andrei,Stoliarov,81,24,2001
Fernando,Vicente,52,24,2001
Arnaud,Clement,38,24,2002
Gaston,Gaudio,21,24,2002
Sebastien,Grosjean,17,24,2002
Tommy,Haas,11,24,2002
Dominik,Hrbaty,51,24,2002
Alberto,Martin,61,24,2002
Olivier,Mutis,94,24,2002
David,Sanchez,60,24,2002
Raemon,Sluiter,71,24,2002
Radek,Stepanek,63,24,2002
Martin,Verkerk,86,24,2002
Vladimir,Voltchkov,73,24,2002
Mariano,Zabaleta,53,24,2002
Juan Ignacio,Chela,38,24,2003
Ivo,Karlovic,73,24,2003
Jean Rene,Lisnard,97,24,2003
Ivan,Ljubicic,42,24,2003
Nicolas,Massu,12,24,2003
Wesley,Moodie,82,24,2003
Paradorn,Srichaphan,11,24,2003
Brian,Vahaly,75,24,2003
James,Blake,97,24,2004
Juan Carlos,Ferrero,31,24,2004
Fernando,Gonzalez,23,24,2004
Jerome,Haehnel,93,24,2004
Luis,Horna,38,24,2004
Michael,Llodra,41,24,2004
Xavier,Malisse,48,24,2004
Albert,Montanes,99,24,2004
Marat,Safin,4,24,2004
Thierry,Ascione,96,24,2005
Nikolay,Davydenko,5,24,2005
Taylor,Dent,29,24,2005
Roger,Federer,1,24,2005
Victor,Hanescu,35,24,2005
Lleyton,Hewitt,4,24,2005
Feliciano,Lopez,33,24,2005
Jurgen,Melzer,52,24,2005
Jarkko,Nieminen,28,24,2005
Olivier,Rochus,27,24,2005
Florent,Serra,49,24,2005
Filippo,Volandri,38,24,2005
Jose,Acasuso,27,24,2006
Julien,Benneteau,40,24,2006
Amer,Delic,93,24,2006
David,Ferrer,14,24,2006
Robby,Ginepri,51,24,2006
Nicolas,Mahut,66,24,2006
Paul Henri,Mathieu,55,24,2006
David,Nalbandian,8,24,2006
Tommy,Robredo,7,24,2006
Andy,Roddick,6,24,2006
Dmitry,Tursunov,22,24,2006
Kristof,Vliegen,31,24,2006
Mikhail,Youzhny,24,24,2006
Igor,Andreev,33,24,2007
Carlos,Berlocq,85,24,2007
Alejandro,Falla,81,24,2007
Guillermo,Garcia Lopez,90,24,2007
Philipp,Kohlschreiber,32,24,2007
Florian,Mayer,55,24,2007
Edouard Roger,Vasselin,97,24,2007
Fernando,Verdasco,26,24,2007
Mario,Ancic,36,24,2008
Steve,Darcis,61,24,2008
Ivo,Minar,99,24,2008
Juan,Monaco,46,24,2008
Philipp,Petzschner,66,24,2008
Andreas,Seppi,35,24,2008
Gilles,Simon,7,24,2008
Robin,Soderling,17,24,2008
Janko,Tipsarevic,49,24,2008
Nicolas,Almagro,26,24,2009
Marcos,Baghdatis,42,24,2009
Tomas,Berdych,20,24,2009
Simone,Bolelli,93,24,2009
Frederico,Gil,69,24,2009
Daniel,Gimeno Traver,72,24,2009
John,Isner,34,24,2009
Dudi,Sela,43,24,2009
Jo Wilfried,Tsonga,10,24,2009
Stanislas,Wawrinka,21,24,2009
Horacio,Zeballos,45,24,2009
Kevin,Anderson,61,24,2010
Pablo,Andujar,71,24,2010
Pablo,Cuevas,63,24,2010
Richard,Gasquet,30,24,2010
Marcel,Granollers,42,24,2010
Denis,Istomin,40,24,2010
Tobias,Kamke,67,24,2010
Gael,Monfils,12,24,2010
Rafael,Nadal,1,24,2010
Eduardo,Schwank,74,24,2010
Sergiy,Stakhovsky,46,24,2010
Viktor,Troicki,28,24,2010
Matthias,Bachinger,94,24,2011
Novak,Djokovic,1,24,2011
Matthew,Ebden,86,24,2011
Fabio,Fognini,48,24,2011
Santiago,Giraldo,55,24,2011
Robin,Haase,45,24,2011
Blaz,Kavcic,92,24,2011
Mikhail,Kukushkin,91,24,2011
Leonardo,Mayer,78,24,2011
Andy,Murray,4,24,2011
Sam,Querrey,93,24,2011
Ryan,Sweeting,72,24,2011
Roberto,Bautista Agut,80,24,2012
Marin,Cilic,15,24,2012
Juan Martin,Del Potro,7,24,2012
Alexandr,Dolgopolov,18,24,2012
Tatsuma,Ito,79,24,2012
Albert,Ramos,50,24,2012
Jurgen,Zopp,89,24,2012
Aljaz,Bedene,95,24,2013
Alejandro,Gonzalez,91,24,2013
Kei,Nishikori,17,24,2013
Benoit,Paire,26,24,2013
Joao,Sousa,49,24,2013
Donald,Young,96,24,2013
Ricardas,Berankis,86,24,2014
Federico,Delbonis,60,24,2014
David,Goffin,22,24,2014
Jerzy,Janowicz,43,24,2014
Dusan,Lajovic,69,24,2014
Vasek,Pospisil,53,24,2014
Milos,Raonic,8,24,2014
Blaz,Rola,80,24,2014
Jan Lennard,Struff,59,24,2014
Pablo,Carreno Busta,67,24,2015
Grigor,Dimitrov,28,24,2015
David,Goffin,16,24,2015
Andrey,Kuznetsov,79,24,2015
Milos,Raonic,14,24,2015
Brian,Fairlie,25,25,1973
Jurgen,Fassbender,46,25,1973
Ian,Fletcher,87,25,1973
Georges,Goven,67,25,1973
Jeff,Borowiak,40,25,1974
Mike,Estep,98,25,1974
Hans,Kary,81,25,1974
Karl,Meiler,67,25,1974
Manuel,Orantes,11,25,1974
Andrew,Pattison,28,25,1974
Patrick,Proisy,69,25,1974
Phil,Dent,33,25,1975
Patrice,Dominguez,78,25,1975
Paul,Gerken,80,25,1975
Jiri,Hrebec,53,25,1975
Geoff,Masters,44,25,1975
Adriano,Panatta,14,25,1975
Antonio,Zugarelli,90,25,1975
John,Alexander,47,25,1976
Paolo,Bertolucci,33,25,1976
Ricardo,Cano,51,25,1976
Ross,Case,45,25,1976
Eddie,Dibbs,9,25,1976
Kjell,Johansson,96,25,1976
Steve,Krulevitz,77,25,1976
Mike,Machette,92,25,1976
Dick,Stockton,15,25,1976
Roscoe,Tanner,11,25,1976
Byron,Bertram,84,25,1977
Jean Francois,Caujolle,78,25,1977
Jimmy,Connors,1,25,1977
Eric,Deblicker,87,25,1977
Wojtek,Fibak,13,25,1977
Frank,Gebert,85,25,1977
Brian,Gottfried,5,25,1977
Cliff,Letcher,65,25,1977
Sandy,Mayer,16,25,1977
Terry,Moor,53,25,1977
Harold,Solomon,14,25,1977
Guillermo,Vilas,2,25,1977
Kim,Warwick,50,25,1977
Vijay,Amritraj,58,25,1978
Corrado,Barazzutti,10,25,1978
Jose,Higueras,14,25,1978
Hank,Pfister,29,25,1978
Raul,Ramirez,8,25,1978
Victor,Amaya,29,25,1979
Pat,Dupre,18,25,1979
Mark,Edmondson,95,25,1979
Vitas,Gerulaitis,4,25,1979
Jean Louis,Haillet,75,25,1979
Paul,Mcnamee,82,25,1979
Bernard,Mitton,58,25,1979
Ulrich,Pinner,23,25,1979
Balazs,Taroczy,42,25,1979
Brian,Teacher,59,25,1979
Peter,Fleming,35,25,1980
Rolf,Gehring,38,25,1980
Angel,Gimenez,86,25,1980
Francisco,Gonzalez,74,25,1980
John,Hayes,92,25,1980
Marcos,Hocevar,50,25,1980
Haroon,Ismail,99,25,1980
Peter,Mcnamara,39,25,1980
Richard,Meyer,89,25,1980
Buster C,Mottram,45,25,1980
Victor,Pecci,31,25,1980
Brian,Teacher,17,25,1980
Trey,Waltke,47,25,1980
Butch,Walts,49,25,1980
Dominique,Bedel,45,25,1983
Chris,Lewis NZL,57,25,1983
Vincent,Van Patten,48,25,1983
Mike,Bauer,46,25,1984
Mark,Dickson,35,25,1984
Heinz,Gunthardt,31,25,1984
Zoltan,Kuharszky,77,25,1984
Jay,Lapidus,65,25,1984
John,Mcenroe,1,25,1984
Mel,Purcell,67,25,1984
Michiel,Schapers,78,25,1984
Leif,Shiras,61,25,1984
Eliot,Teltscher,8,25,1984
Tim,Wilkison,39,25,1984
John,Fitzgerald,91,25,1985
Andres,Gomez,15,25,1985
Damir,Keretic,85,25,1985
Mike,Leach,37,25,1985
Ivan,Lendl,1,25,1985
Tim,Mayotte,12,25,1985
Yannick,Noah,7,25,1985
Claudio,Panatta,92,25,1985
Pablo,Arraya,60,25,1986
Broderick,Dyke,66,25,1986
Brad,Gilbert,11,25,1986
Anders,Jarryd,19,25,1986
Ramesh,Krishnan,35,25,1986
Glenn,Layendecker,73,25,1986
Christo,Steyn,67,25,1986
Danie,Visser,83,25,1986
Jeremy,Bates,89,25,1987
Sergio,Casal,92,25,1987
Scott,Davis,59,25,1987
Jan,Gunnarsson,39,25,1987
David,Pate,18,25,1987
Alberto,Tous,80,25,1987
Christo,Van Rensburg,29,25,1987
Paul,Annacone,38,25,1988
Yahiya,Doumbia,83,25,1988
Sammy,Giammalva Jr,89,25,1988
Dan,Goldie,29,25,1988
Henri,Leconte,9,25,1988
Jorge,Lozano,62,25,1988
Wally,Masur,46,25,1988
Luiz,Mattar,44,25,1988
Joakim,Nystrom,69,25,1988
Mikael,Pernfors,19,25,1988
Joey,Rive,80,25,1988
Robert,Seguso,37,25,1988
Tobias,Svantesson,98,25,1988
Thierry,Tulasne,75,25,1988
Todd,Witsken,67,25,1988
Slobodan,Zivojinovic,31,25,1988
Ronald,Agenor,37,25,1989
Jimmy,Arias,92,25,1989
Jordi,Arrese,44,25,1989
Lawson,Duncan,91,25,1989
Jim,Grabb,35,25,1989
Jakob,Hlasek,30,25,1989
Martin,Jaite,11,25,1989
Miloslav,Mecir,18,25,1989
Tom,Nijssen,99,25,1989
Goran,Prpic,28,25,1989
Jim,Pugh,60,25,1989
Milan,Srejber,97,25,1989
Mats,Wilander,12,25,1989
Darren,Cahill,57,25,1990
Pat,Cash,81,25,1990
Grant,Connell,92,25,1990
Jean Philippe,Fleurian,67,25,1990
Guy,Forget,16,25,1990
Eric,Jelen,68,25,1990
Peter,Lundgren,65,25,1990
Amos,Mansdorf,33,25,1990
Alexander,Mronz,86,25,1990
Gary,Muller,52,25,1990
Karel,Novacek,34,25,1990
Richey,Reneberg,23,25,1990
Derrick,Rostagno,47,25,1990
Emilio,Sanchez,8,25,1990
Marian,Vajda,83,25,1990
Roberto,Azar,93,25,1991
Thierry,Champion,48,25,1991
Andrei,Chesnokov,31,25,1991
Stefan,Edberg,1,25,1991
Paul,Haarhuis,37,25,1991
Patrik,Kuhnen,86,25,1991
Patrick,Mcenroe,36,25,1991
Jonas,Svensson,29,25,1991
Boris,Becker,5,25,1992
Christian,Bergstrom,58,25,1992
Karsten,Braasch,90,25,1992
Olivier,Delaitre,76,25,1992
Marcelo,Filippini,60,25,1992
Magnus,Gustafsson,47,25,1992
Aaron,Krickstein,28,25,1992
Leonardo,Lavalle,99,25,1992
Shuzo,Matsuoka,64,25,1992
Thomas,Muster,18,25,1992
Carl Uwe,Steeb,29,25,1992
Alexander,Volkov,17,25,1992
Jaime,Yzaga,49,25,1992
Tomas,Carbonell,89,25,1993
Francisco,Clavet,100,25,1993
Carlos,Costa,26,25,1993
Rodolphe,Gilbert,81,25,1993
Henrik,Holm,48,25,1993
Bernd,Karbacher,57,25,1993
Petr,Korda,12,25,1993
Javier,Sanchez,34,25,1993
Horst,Skoff,74,25,1993
Michael,Stich,2,25,1993
Jeff,Tarango,91,25,1993
Jan,Apell,95,25,1994
Byron,Black,66,25,1994
Arnaud,Boetsch,53,25,1994
Cedric,Pioline,51,25,1994
Gilbert,Schaller,48,25,1994
Brett,Steven,87,25,1994
Malivai,Washington,30,25,1994
David,Wheaton,39,25,1994
Andre,Agassi,2,25,1995
Jim,Courier,8,25,1995
Slava,Dosedel,60,25,1995
Jacco,Eltingh,43,25,1995
Frederik,Fetterlein,99,25,1995
Richard,Fromberg,85,25,1995
Renzo,Furlan,29,25,1995
Marc Kevin,Goellner,78,25,1995
Magnus,Larsson,17,25,1995
Nuno,Marques,90,25,1995
Todd,Martin,18,25,1995
Guillaume,Raoux,77,25,1995
Marc,Rosset,15,25,1995
Jan,Siemerink,21,25,1995
Jason,Stoltenberg,80,25,1995
Sergi,Bruguera,82,25,1996
Younes,El Aynaoui,70,25,1996
Wayne,Ferreira,10,25,1996
Goran,Ivanisevic,4,25,1996
Richard,Krajicek,7,25,1996
Nicklas,Kulti,64,25,1996
Fernando,Meligeni,94,25,1996
Pete,Sampras,1,25,1996
Grant,Stafford,83,25,1996
Jonathan,Stark,68,25,1996
Daniel,Vacek,71,25,1996
Todd,Woodbridge,36,25,1996
Jonas,Bjorkman,4,25,1997
Jordi,Burillo,90,25,1997
Michael,Chang,3,25,1997
Martin,Damm,61,25,1997
Filip,Dewulf,41,25,1997
Hernan,Gumy,84,25,1997
Christian,Ruud,65,25,1997
Davide,Sanguinetti,95,25,1997
Fabrice,Santoro,29,25,1997
Mikael,Tillstrom,68,25,1997
Karim,Alami,72,25,1998
Hicham,Arazi,36,25,1998
Alberto,Berasategui,21,25,1998
Wayne,Black,94,25,1998
Kenneth,Carlsen,83,25,1998
Andrea,Gaudenzi,44,25,1998
Jerome,Golmard,47,25,1998
Oliver,Gross,97,25,1998
Sebastien,Lareau,79,25,1998
Leander,Paes,91,25,1998
Albert,Portas,84,25,1998
David,Prinosil,78,25,1998
Patrick,Rafter,4,25,1998
Greg,Rusedski,9,25,1998
Sargis,Sargsian,98,25,1998
Alex,Corretja,26,25,1999
Thomas,Enqvist,4,25,1999
Tim,Henman,12,25,1999
Yevgeny,Kafelnikov,2,25,1999
Karol,Kucera,17,25,1999
Felix,Mantilla,22,25,1999
Andrei,Medvedev,30,25,1999
Andrei,Pavel,41,25,1999
Vincent,Spadea,20,25,1999
Adrian,Voinea,100,25,1999
Juan,Balcells,71,25,2000
Albert,Costa,26,25,2000
Thomas,Johansson,39,25,2000
Jiri,Novak,53,25,2000
Franco,Squillari,14,25,2000
Bohdan,Ulihrach,76,25,2000
Galo,Blanco,56,25,2001
Agustin,Calleri,67,25,2001
Ramon,Delgado,92,25,2001
Jacobo,Diaz,88,25,2001
Nicolas,Escude,27,25,2001
Andrew,Ilie,66,25,2001
Gustavo,Kuerten,2,25,2001
Nicolas,Lapentti,23,25,2001
Carlos,Moya,19,25,2001
Magnus,Norman,49,25,2001
Marcelo,Rios,39,25,2001
Attila,Savolt,93,25,2001
Sjeng,Schalken,26,25,2001
Rainer,Schuettler,43,25,2001
Jan,Vacek,75,25,2001
Guillermo,Canas,15,25,2002
Jan Michael,Gambill,42,25,2002
Nicolas,Kiefer,72,25,2002
Stefan,Koubek,54,25,2002
Max,Mirnyi,43,25,2002
Andre,Sa,66,25,2002
Fernando,Vicente,58,25,2002
Arnaud,Clement,31,25,2003
Gaston,Gaudio,34,25,2003
Sebastien,Grosjean,10,25,2003
Oscar,Hernandez,89,25,2003
Dominik,Hrbaty,61,25,2003
Alberto,Martin,54,25,2003
Ruben,Ramirez Hidalgo,80,25,2003
Christophe,Rochus,84,25,2003
David,Sanchez,50,25,2003
Raemon,Sluiter,59,25,2003
Radek,Stepanek,46,25,2003
Martin,Verkerk,19,25,2003
Mariano,Zabaleta,27,25,2003
Juan Ignacio,Chela,26,25,2004
Jan,Hernych,83,25,2004
Ivo,Karlovic,61,25,2004
Ivan,Ljubicic,22,25,2004
Nicolas,Massu,19,25,2004
Jeff,Morrison,96,25,2004
Paradorn,Srichaphan,27,25,2004
Michal,Tabara,98,25,2004
James,Blake,23,25,2005
Juan Carlos,Ferrero,17,25,2005
Fernando,Gonzalez,11,25,2005
Luis,Horna,84,25,2005
Xavier,Malisse,47,25,2005
Albert,Montanes,71,25,2005
Marat,Safin,12,25,2005
Robin,Vik,61,25,2005
Benjamin,Becker,58,25,2006
Nikolay,Davydenko,3,25,2006
Roger,Federer,1,25,2006
Mardy,Fish,47,25,2006
Simon,Greul,82,25,2006
Lleyton,Hewitt,20,25,2006
Igor,Kunitsyn,94,25,2006
Feliciano,Lopez,79,25,2006
Jurgen,Melzer,41,25,2006
Jarkko,Nieminen,15,25,2006
Kristian,Pless,84,25,2006
Olivier,Rochus,36,25,2006
Florent,Serra,60,25,2006
Potito,Starace,83,25,2006
Filippo,Volandri,38,25,2006
Jose,Acasuso,65,25,2007
David,Ferrer,5,25,2007
Nicolas,Mahut,45,25,2007
Paul Henri,Mathieu,25,25,2007
David,Nalbandian,9,25,2007
Boris,Pashanski,96,25,2007
Tommy,Robredo,10,25,2007
Andy,Roddick,6,25,2007
Dmitry,Tursunov,34,25,2007
Kristof,Vliegen,98,25,2007
Mikhail,Youzhny,19,25,2007
Igor,Andreev,19,25,2008
Guillermo,Garcia Lopez,62,25,2008
Philipp,Kohlschreiber,28,25,2008
Yen Hsun,Lu,64,25,2008
Gilles,Muller,95,25,2008
Fernando,Verdasco,16,25,2008
Mario,Ancic,95,25,2009
Juan,Monaco,30,25,2009
Philipp,Petzschner,80,25,2009
Rajeev,Ram,79,25,2009
Andreas,Seppi,49,25,2009
Gilles,Simon,15,25,2009
Robin,Soderling,8,25,2009
Janko,Tipsarevic,38,25,2009
Nicolas,Almagro,15,25,2010
Marcos,Baghdatis,20,25,2010
Tomas,Berdych,6,25,2010
Ivan,Dodig,88,25,2010
Teymuraz,Gabashvili,80,25,2010
Daniel,Gimeno Traver,56,25,2010
John,Isner,19,25,2010
Dudi,Sela,75,25,2010
Jo Wilfried,Tsonga,13,25,2010
Stanislas,Wawrinka,21,25,2010
Kevin,Anderson,32,25,2011
Pablo,Andujar,46,25,2011
Andreas,Beck,98,25,2011
Richard,Gasquet,19,25,2011
Marcel,Granollers,27,25,2011
Denis,Istomin,73,25,2011
Tobias,Kamke,96,25,2011
Gael,Monfils,16,25,2011
Rafael,Nadal,2,25,2011
Sergiy,Stakhovsky,62,25,2011
Viktor,Troicki,22,25,2011
Thomaz,Bellucci,33,25,2012
Jeremy,Chardy,32,25,2012
Novak,Djokovic,1,25,2012
Fabio,Fognini,45,25,2012
Santiago,Giraldo,57,25,2012
Robin,Haase,56,25,2012
Blaz,Kavcic,94,25,2012
Lukas,Lacko,51,25,2012
Leonardo,Mayer,71,25,2012
Andy,Murray,3,25,2012
Sam,Querrey,22,25,2012
Igor,Sijsling,68,25,2012
Roberto,Bautista Agut,58,25,2013
Marin,Cilic,37,25,2013
Juan Martin,Del Potro,5,25,2013
Alexandr,Dolgopolov,57,25,2013
Ernests,Gulbis,24,25,2013
Adrian,Mannarino,59,25,2013
Albert,Ramos,83,25,2013
Peter,Gojowczyk,79,25,2014
Alejandro,Gonzalez,91,25,2014
Steve,Johnson,37,25,2014
Martin,Klizan,34,25,2014
Kei,Nishikori,5,25,2014
Joao,Sousa,54,25,2014
Donald,Young,57,25,2014
Ricardas,Berankis,85,25,2015
Federico,Delbonis,52,25,2015
Evgeny,Donskoy,91,25,2015
Jerzy,Janowicz,57,25,2015
Steve,Johnson,32,25,2015
Dusan,Lajovic,76,25,2015
Kei,Nishikori,8,25,2015
Guido,Pella,74,25,2015
Vasek,Pospisil,39,25,2015
Gerald,Battrick,66,26,1973
Jean Baptiste,Chanfreau,84,26,1973
Dick,Dell,98,26,1973
Ismail,El Shafei,81,26,1973
Zeljko,Franulovic,70,26,1973
Tom,Gorman,11,26,1973
Jun,Kamiwazumi,94,26,1973
Robert,Lutz,35,26,1973
Onny,Parun,40,26,1973
Han Jurgen,Pohmann,37,26,1973
Cliff,Richey,19,26,1973
Toshiro,Sakai,78,26,1973
Peter,Szoke,58,26,1973
Vladimir,Zednik,90,26,1973
Brian,Fairlie,58,26,1974
Jurgen,Fassbender,54,26,1974
Georges,Goven,83,26,1974
John,Yuill,52,26,1974
Jeff,Borowiak,48,26,1975
Bob,Giltinan,87,26,1975
Norman,Holmes,91,26,1975
Hans,Kary,84,26,1975
Karl,Meiler,31,26,1975
Manuel,Orantes,5,26,1975
Andrew,Pattison,37,26,1975
Patrick,Proisy,43,26,1975
Haroon,Rahim,74,26,1975
Syd,Ball,89,26,1976
Alvaro,Betancur,98,26,1976
Phil,Dent,37,26,1976
Jiri,Hrebec,69,26,1976
Geoff,Masters,53,26,1976
Fred,Mcnair,87,26,1976
Adriano,Panatta,7,26,1976
Antonio,Zugarelli,30,26,1976
John,Alexander,18,26,1977
Paolo,Bertolucci,29,26,1977
Ross,Case,55,26,1977
Eddie,Dibbs,6,26,1977
Tim,Gullikson,28,26,1977
Tom,Gullikson,60,26,1977
Kjell,Johansson,66,26,1977
Dick,Stockton,10,26,1977
Roscoe,Tanner,15,26,1977
Anand,Amritraj,94,26,1978
Byron,Bertram,92,26,1978
Mike,Cahill,69,26,1978
Jimmy,Connors,1,26,1978
Wojtek,Fibak,21,26,1978
Brian,Gottfried,7,26,1978
John,Marks,63,26,1978
Sandy,Mayer,17,26,1978
Terry,Moor,73,26,1978
Harold,Solomon,9,26,1978
Guillermo,Vilas,3,26,1978
Kim,Warwick,41,26,1978
Vijay,Amritraj,34,26,1979
Corrado,Barazzutti,33,26,1979
Jose,Higueras,9,26,1979
Hank,Pfister,30,26,1979
Raul,Ramirez,40,26,1979
Victor,Amaya,16,26,1980
Pat,Dupre,53,26,1980
Vitas,Gerulaitis,9,26,1980
Paul,Kronk,92,26,1980
Paul,Mcnamee,33,26,1980
Bernard,Mitton,60,26,1980
Russell,Simpson,76,26,1980
Balazs,Taroczy,22,26,1980
Steve,Denton,13,26,1983
Hans,Gildemeister,35,26,1983
Bruce,Manson,75,26,1983
Gene,Mayer,8,26,1983
John,Sadri,32,26,1983
Nick,Saviano,98,26,1983
Bill,Scanlon,71,26,1983
Tomas,Smid,23,26,1983
Lloyd,Bourne,99,26,1984
Jose Luis,Clerc,33,26,1984
Kevin,Curren,15,26,1984
Marty,Davis,64,26,1984
Brad,Drewett,75,26,1984
Shlomo,Glickstein,81,26,1984
Chip,Hooper,96,26,1984
Johan,Kriek,13,26,1984
Fernando,Luna,70,26,1984
Steve,Meister,80,26,1984
Mark,Dickson,74,26,1985
Heinz,Gunthardt,36,26,1985
John,Mcenroe,2,26,1985
Bud,Schultz,43,26,1985
Eliot,Teltscher,24,26,1985
Tim,Wilkison,44,26,1985
Marcel,Freeman,51,26,1986
Andres,Gomez,10,26,1986
Damir,Keretic,68,26,1986
Ivan,Lendl,1,26,1986
Tim,Mayotte,15,26,1986
Cassio,Motta,49,26,1986
Yannick,Noah,4,26,1986
Peter,Doohan,72,26,1987
Kelly,Evernden,36,26,1987
Brad,Gilbert,13,26,1987
Anders,Jarryd,15,26,1987
Ramesh,Krishnan,58,26,1987
Sergio,Casal,77,26,1988
Jan,Gunnarsson,84,26,1988
David,Pate,47,26,1988
Christo,Van Rensburg,35,26,1988
Paul,Annacone,65,26,1989
Dan,Goldie,67,26,1989
Wally,Masur,42,26,1989
Luiz,Mattar,62,26,1989
Mikael,Pernfors,48,26,1989
Robert,Seguso,86,26,1989
Todd,Witsken,54,26,1989
Slobodan,Zivojinovic,76,26,1989
Ronald,Agenor,29,26,1990
Jimmy,Arias,60,26,1990
Jordi,Arrese,39,26,1990
Jim,Grabb,72,26,1990
Jakob,Hlasek,17,26,1990
Martin,Jaite,36,26,1990
Goran,Prpic,55,26,1990
Milan,Srejber,85,26,1990
Mats,Wilander,41,26,1990
Patrick,Baur,82,26,1991
Darren,Cahill,91,26,1991
Grant,Connell,79,26,1991
Jean Philippe,Fleurian,73,26,1991
Guy,Forget,7,26,1991
Amos,Mansdorf,62,26,1991
Karel,Novacek,8,26,1991
Gianluca,Pozzi,76,26,1991
Richey,Reneberg,27,26,1991
Fernando,Roese,100,26,1991
Derrick,Rostagno,13,26,1991
Emilio,Sanchez,14,26,1991
Bryan,Shelton,72,26,1991
Marian,Vajda,97,26,1991
Mark,Woodforde,88,26,1991
Roberto,Azar,96,26,1992
Thierry,Champion,98,26,1992
Andrei,Chesnokov,30,26,1992
Stefan,Edberg,2,26,1992
Paul,Haarhuis,39,26,1992
Patrik,Kuhnen,89,26,1992
Andrei,Olhovskiy,80,26,1992
Bryan,Shelton,100,26,1992
Jonas,Svensson,81,26,1992
Boris,Becker,11,26,1993
Christian,Bergstrom,52,26,1993
Karsten,Braasch,62,26,1993
Olivier,Delaitre,83,26,1993
Marcelo,Filippini,87,26,1993
Javier,Frana,49,26,1993
Magnus,Gustafsson,14,26,1993
Aaron,Krickstein,45,26,1993
Thomas,Muster,9,26,1993
Stephane,Simian,75,26,1993
Carl Uwe,Steeb,94,26,1993
Alexander,Volkov,18,26,1993
Jaime,Yzaga,31,26,1993
Tomas,Carbonell,62,26,1994
Francisco,Clavet,38,26,1994
Carlos,Costa,27,26,1994
Henrik,Holm,67,26,1994
Bernd,Karbacher,26,26,1994
Petr,Korda,18,26,1994
Javier,Sanchez,42,26,1994
Horst,Skoff,47,26,1994
Michael,Stich,9,26,1994
Jeff,Tarango,78,26,1994
Markus,Zoecke,57,26,1994
Jan,Apell,86,26,1995
Byron,Black,40,26,1995
Arnaud,Boetsch,14,26,1995
Cedric,Pioline,54,26,1995
Gilbert,Schaller,20,26,1995
Brett,Steven,42,26,1995
Malivai,Washington,26,26,1995
David,Wheaton,44,26,1995
Andre,Agassi,8,26,1996
Jim,Courier,26,26,1996
Slava,Dosedel,66,26,1996
Richard,Fromberg,76,26,1996
Renzo,Furlan,40,26,1996
Marc Kevin,Goellner,53,26,1996
Magnus,Larsson,46,26,1996
Todd,Martin,12,26,1996
Alex,Obrien,38,26,1996
Guillaume,Raoux,72,26,1996
Marc,Rosset,22,26,1996
Jan,Siemerink,15,26,1996
Sandon,Stolle,58,26,1996
Jason,Stoltenberg,31,26,1996
Sergi,Bruguera,8,26,1997
Wayne,Ferreira,42,26,1997
Goran,Ivanisevic,15,26,1997
Richard,Krajicek,11,26,1997
Fernando,Meligeni,67,26,1997
Pete,Sampras,1,26,1997
Grant,Stafford,74,26,1997
Jonathan,Stark,96,26,1997
Daniel,Vacek,53,26,1997
Todd,Woodbridge,26,26,1997
Jonas,Bjorkman,24,26,1998
Michael,Chang,29,26,1998
Martin,Damm,76,26,1998
Filip,Dewulf,55,26,1998
Christian,Ruud,86,26,1998
Davide,Sanguinetti,48,26,1998
Fabrice,Santoro,41,26,1998
Mikael,Tillstrom,85,26,1998
Karim,Alami,31,26,1999
Hicham,Arazi,36,26,1999
Alberto,Berasategui,61,26,1999
Kenneth,Carlsen,85,26,1999
Antony,Dupuis,83,26,1999
Andrea,Gaudenzi,84,26,1999
Jerome,Golmard,35,26,1999
Albert,Portas,90,26,1999
David,Prinosil,66,26,1999
Patrick,Rafter,16,26,1999
Greg,Rusedski,14,26,1999
Sargis,Sargsian,59,26,1999
Chris,Woodruff,51,26,1999
Julien,Boutter,70,26,2000
Alex,Corretja,8,26,2000
Thomas,Enqvist,9,26,2000
Tim,Henman,10,26,2000
Yevgeny,Kafelnikov,5,26,2000
Karol,Kucera,73,26,2000
Felix,Mantilla,99,26,2000
Andrei,Medvedev,58,26,2000
Andrei,Pavel,27,26,2000
Juan,Balcells,95,26,2001
Lars,Burgsmuller,83,26,2001
Albert,Costa,40,26,2001
Thomas,Johansson,18,26,2001
Jiri,Novak,29,26,2001
Franco,Squillari,55,26,2001
Bohdan,Ulihrach,32,26,2001
Agustin,Calleri,50,26,2002
Nicolas,Escude,34,26,2002
Gustavo,Kuerten,37,26,2002
Nicolas,Lapentti,29,26,2002
Hyung Taik,Lee,87,26,2002
Carlos,Moya,5,26,2002
Mark,Philippoussis,80,26,2002
