firstname,lastname,ranking,age,year
Juan Carlos,Ferrero,5,21,2001
Michael,Llodra,89,21,2001
Federico,Luzzi,96,21,2001
Xavier,Malisse,33,21,2001
Albert,Montanes,65,21,2001
Marat,Safin,11,21,2001
Flavio,Saretta,98,21,2001
Nikolay,Davydenko,81,21,2002
Taylor,Dent,57,21,2002
Roger,Federer,6,21,2002
Mardy,Fish,84,21,2002
Lleyton,Hewitt,1,21,2002
Irakli,Labadze,93,21,2002
Feliciano,Lopez,62,21,2002
Jurgen,Melzer,91,21,2002
Jarkko,Nieminen,40,21,2002
Kristian,Pless,82,21,2002
Olivier,Rochus,64,21,2002
Karol,Beck,66,21,2003
Guillermo,Coria,5,21,2003
David,Ferrer,71,21,2003
Robby,Ginepri,32,21,2003
Joachim,Johansson,95,21,2003
Nicolas,Mahut,94,21,2003
Paul Henri,Mathieu,83,21,2003
David,Nalbandian,8,21,2003
Tommy,Robredo,21,21,2003
Andy,Roddick,1,21,2003
Dmitry,Tursunov,98,21,2003
Mikhail,Youzhny,43,21,2003
Igor,Andreev,50,21,2004
Philipp,Kohlschreiber,88,21,2004
Yen Hsun,Lu,87,21,2004
Florian,Mayer,35,21,2004
Gilles,Muller,69,21,2004
Fernando,Verdasco,36,21,2004
Mario,Ancic,21,21,2005
Ivo,Minar,73,21,2005
Juan,Monaco,85,21,2005
Andreas,Seppi,68,21,2005
Robin,Soderling,77,21,2005
Nicolas,Almagro,32,21,2006
Marcos,Baghdatis,12,21,2006
Tomas,Berdych,13,21,2006
Gilles,Simon,45,21,2006
Stanislas,Wawrinka,30,21,2006
Richard,Gasquet,8,21,2007
Gael,Monfils,38,21,2007
Rafael,Nadal,2,21,2007
Jeremy,Chardy,75,21,2008
Novak,Djokovic,3,21,2008
Fabio,Fognini,88,21,2008
Andrey,Golubev,89,21,2008
Andy,Murray,4,21,2008
Sam,Querrey,39,21,2008
Mischa,Zverev,80,21,2008
Thomaz,Bellucci,36,21,2009
Marin,Cilic,14,21,2009
Thiemo,De Bakker,96,21,2009
